move_flag_type_id,local_language_id,name,description
1,9,Makes contact,"User touches the target.  This triggers some abilities (e.g., [Static]{ability:static}) and items (e.g., [Sticky Barb]{item:sticky-barb})."
2,9,Has a charging turn,This move has a charging turn that can be skipped with a [Power Herb]{item:power-herb}.
3,9,Must recharge,"The turn after this move is used, the Pokémon's action is skipped so it can recharge."
4,9,Blocked by Detect and Protect,This move will not work if the target has used [Detect]{move:detect} or [Protect]{move:protect} this turn.
5,9,Reflectable,This move may be reflected back at the user with [Magic Coat]{move:magic-coat} or [Magic Bounce]{ability:magic-bounce}.
6,9,Snatchable,This move will be stolen if another Pokémon has used [Snatch]{move:snatch} this turn.
7,9,Copied by Mirror Move,A Pokémon targeted by this move can use [Mirror Move]{move:mirror-move} to copy it.
8,9,Punch-based,This move has 1.2× its usual power when used by a Pokémon with [Iron Fist]{ability:iron-fist}.
9,9,Sound-based,Pokémon with [Soundproof]{ability:soundproof} are immune to this move.
10,9,Unusable during Gravity,This move cannot be used in high [Gravity]{move:gravity}.
11,9,Defrosts when used,This move can be used while frozen to force the Pokémon to defrost.
12,9,Targets opposite side in triples,"In triple battles, this move can be used on either side to target the farthest away opposing Pokémon."
13,9,Heals,This move is blocked by [Heal Block]{move:heal-block}.
14,9,Ignores Substitute,This move ignores the target's [Substitute]{move:substitute}.
